date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:53:09	154870/154870	------	200	untouched ('OK')	text/html	etag:cacheable:071482d0ee4be259b0055fa0dc0a5210	https://porto-demo13.myshopify.com/	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/index.html	(from )
08:53:09	478/478	------	200	untouched ('OK')	text/plain	etag:cacheable:7e120d65887fb393499216a87e4736e4	https://porto-demo13.myshopify.com/robots.txt		(from )
08:53:09	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Jul%202022%2007:14:26%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/plugins.css?v=58826214593735965551640001860	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/plugins.046cc.delayed	(from https://porto-demo13.myshopify.com/)
08:53:09	0/0	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Jul%202022%2007:14:26%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/ultramegamenu.css?v=106457412661771523601640001879	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/ultramegamenu.23a49.delayed	(from https://porto-demo13.myshopify.com/)
08:53:09	132911/132911	------	200	untouched ('OK')	text/css	date:Mon,%2027%20Jun%202022%2006:19:12%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/plugins.css?v=58826214593735965551640001860	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/plugins46cc.css	(from https://porto-demo13.myshopify.com/)
08:53:09	0/0	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Jul%202022%2007:14:27%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/styles.css?v=145071799183494556481640001877	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/styles.4e5d2.delayed	(from https://porto-demo13.myshopify.com/)
08:53:09	18654/18654	------	200	untouched ('OK')	text/css	date:Tue,%2028%20Jun%202022%2005:31:02%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/ultramegamenu.css?v=106457412661771523601640001879	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/ultramegamenu3a49.css	(from https://porto-demo13.myshopify.com/)
08:53:09	0/0	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Jul%202022%2007:14:27%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/header-type1.css?v=61197330971945066011640001807	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/header-type1.6519f.delayed	(from https://porto-demo13.myshopify.com/)
08:53:09	129762/129762	------	200	untouched ('OK')	text/css	date:Tue,%2005%20Jul%202022%2004:41:57%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/styles.css?v=145071799183494556481640001877	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/stylese5d2.css	(from https://porto-demo13.myshopify.com/)
08:53:09	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Jul%202022%2007:14:28%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/homepage.css?v=139196764768539256851640001818	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/homepage.824b2.delayed	(from https://porto-demo13.myshopify.com/)
08:53:09	5090/5090	------	200	untouched ('OK')	text/css	date:Mon,%2027%20Jun%202022%2006:19:13%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/header-type1.css?v=61197330971945066011640001807	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/header-type1519f.css	(from https://porto-demo13.myshopify.com/)
08:53:09	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Jul%202022%2007:14:28%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/product-list.css?v=78477012256699694961640001863	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/product-list.a5a59.delayed	(from https://porto-demo13.myshopify.com/)
08:53:09	27841/27841	------	200	untouched ('OK')	text/css	date:Tue,%2005%20Jul%202022%2004:41:59%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/homepage.css?v=139196764768539256851640001818	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/homepage24b2.css	(from https://porto-demo13.myshopify.com/)
08:53:09	0/0	------	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Jul%202022%2007:14:29%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/responsive.css?v=172664629932058687001640001867	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/responsive.c05a1.delayed	(from https://porto-demo13.myshopify.com/)
