date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:09:29	478/478	U-----	200	untouched ('OK')	text/plain	etag:cacheable:7e120d65887fb393499216a87e4736e4	https://porto-demo13.myshopify.com/robots.txt		(from )
11:09:30	154870/154870	U-----	200	untouched ('OK')	text/html	etag:cacheable:071482d0ee4be259b0055fa0dc0a5210	https://porto-demo13.myshopify.com/	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/index.html	(from )
11:09:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Jul%202022%2005:39:31%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/plugins.css?v=58826214593735965551640001860	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/plugins.046cc.delayed	(from https://porto-demo13.myshopify.com/)
11:09:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Jul%202022%2005:39:32%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/ultramegamenu.css?v=106457412661771523601640001879	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/ultramegamenu3a49.css	(from https://porto-demo13.myshopify.com/)
11:09:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Jul%202022%2005:39:33%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/styles.css?v=145071799183494556481640001877	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/stylese5d2.css	(from https://porto-demo13.myshopify.com/)
11:09:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Jul%202022%2005:39:34%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/header-type1.css?v=61197330971945066011640001807	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/header-type1519f.css	(from https://porto-demo13.myshopify.com/)
11:09:35	132911/132911	U-----	200	untouched ('OK')	text/css	date:Mon,%2027%20Jun%202022%2006:19:12%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/plugins.css?v=58826214593735965551640001860	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/plugins46cc.css	(from https://porto-demo13.myshopify.com/)
11:09:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Jul%202022%2005:39:36%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/homepage.css?v=139196764768539256851640001818	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/homepage24b2.css	(from https://porto-demo13.myshopify.com/)
11:09:36	18654/18654	U-----	200	untouched ('OK')	text/css	date:Tue,%2028%20Jun%202022%2005:31:02%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/ultramegamenu.css?v=106457412661771523601640001879	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/ultramegamenu3a49.css	(from https://porto-demo13.myshopify.com/)
11:09:36	5090/5090	U-----	200	untouched ('OK')	text/css	date:Mon,%2027%20Jun%202022%2006:19:13%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/header-type1.css?v=61197330971945066011640001807	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/header-type1519f.css	(from https://porto-demo13.myshopify.com/)
